_id,PID,CM_ID,GIS_ID,ST_NUM,ST_NAME,UNIT_NUM,CITY,ZIP_CODE,BLDG_SEQ,NUM_BLDGS,LUC,LU,LU_DESC,BLDG_TYPE,OWN_OCC,OWNER,MAIL_ADDRESSEE,MAIL_STREET_ADDRESS,MAIL_CITY,MAIL_STATE,MAIL_ZIP_CODE,RES_FLOOR,CD_FLOOR,RES_UNITS,COM_UNITS,RC_UNITS,LAND_SF,GROSS_AREA,LIVING_AREA,LAND_VALUE,BLDG_VALUE,SFYI_VALUE,TOTAL_VALUE,GROSS_TAX,YR_BUILT,YR_REMODEL,STRUCTURE_CLASS,ROOF_STRUCTURE,ROOF_COVER,INT_WALL,EXT_FNISHED,INT_COND,EXT_COND,OVERALL_COND,BED_RMS,FULL_BTH,HLF_BTH,KITCHENS,TT_RMS,BDRM_COND,BTHRM_STYLE1,BTHRM_STYLE2,BTHRM_STYLE3,KITCHEN_TYPE,KITCHEN_STYLE1,KITCHEN_STYLE2,KITCHEN_STYLE3,HEAT_TYPE,HEAT_SYSTEM,AC_TYPE,FIREPLACES,ORIENTATION,NUM_PARKING,PROP_VIEW,CORNER_UNIT,Lat,Long
39263,0401597012,0401597000,0401597000,73,Gainsborough ST,201W,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,2,,,,510,510,510,0,"512,800",0,"512,800","$5,589.52 ",1900,1986,,F - Flat,C - Composition,N - Normal,B - Brick/Stone,G - Good,G - Good,A - Average,1,1,0,1,3,A - Average,M - Modern,,,O - One Person,M - Modern,,,E - Electric,Y - Self Contained,N - None,1,F - Front/Street,0,A - Average,N - No,42.3418872,-71.0873303
39264,0401597014,0401597000,0401597000,73,Gainsborough ST,202W,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,2,,,,703,703,703,0,"577,000",0,"577,000","$6,289.30 ",1900,1986,,F - Flat,C - Composition,N - Normal,B - Brick/Stone,G - Good,G - Good,A - Average,1,1,0,1,3,A - Average,M - Modern,,,O - One Person,M - Modern,,,E - Electric,Y - Self Contained,N - None,0,A - Rear Above,0,A - Average,N - No,42.3418872,-71.0873303
39265,0401597016,0401597000,0401597000,73,Gainsborough ST,301W,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,3,,,,510,510,510,0,"513,600",0,"513,600","$5,598.24 ",1900,1986,,F - Flat,C - Composition,N - Normal,B - Brick/Stone,G - Good,G - Good,A - Average,1,1,0,1,3,A - Average,M - Modern,,,O - One Person,M - Modern,,,E - Electric,Y - Self Contained,N - None,1,F - Front/Street,0,A - Average,N - No,42.3418872,-71.0873303
39266,0401597018,0401597000,0401597000,73,Gainsborough ST,302W,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,3,,,,703,703,703,0,"647,900",0,"647,900","$7,062.11 ",1900,1986,,F - Flat,C - Composition,N - Normal,B - Brick/Stone,G - Good,G - Good,A - Average,2,1,0,1,4,A - Average,M - Modern,,,F - Full Eat In,M - Modern,,,E - Electric,Y - Self Contained,N - None,0,A - Rear Above,0,A - Average,N - No,42.3418872,-71.0873303
39647,0401648020,0401648000,0401648000,76,Gainsborough ST,10,BOSTON,02115,1,1,108,CP,CONDO PARKING (RES),NoBld,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,,,,,,179,,,0,"47,600",0,"47,600",$518.84 ,,,,,,,,,,A - Average,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
39648,0401648022,0401648000,0401648000,76,Gainsborough ST,11,BOSTON,02115,1,1,108,CP,CONDO PARKING (RES),NoBld,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,,,,,,181,,,0,"47,600",0,"47,600",$518.84 ,,,,,,,,,,A - Average,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
39649,0401648024,0401648000,0401648000,76,Gainsborough ST,12,BOSTON,02115,1,1,108,CP,CONDO PARKING (RES),NoBld,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,,,,,,170,,,0,"47,600",0,"47,600",$518.84 ,,,,,,,,,,A - Average,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
39670,0401648066,0401648000,0401648000,76,Gainsborough ST,33,BOSTON,02115,1,1,108,CP,CONDO PARKING (RES),NoBld,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,,,,,,182,,,0,"47,600",0,"47,600",$518.84 ,,,,,,,,,,A - Average,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
39671,0401648068,0401648000,0401648000,76,Gainsborough ST,34,BOSTON,02115,1,1,108,CP,CONDO PARKING (RES),NoBld,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,,,,,,182,,,0,"47,600",0,"47,600",$518.84 ,,,,,,,,,,A - Average,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
39672,0401648070,0401648000,0401648000,76,Gainsborough ST,35,BOSTON,02115,1,1,108,CP,CONDO PARKING (RES),NoBld,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,,,,,,185,,,0,"47,600",0,"47,600",$518.84 ,,,,,,,,,,A - Average,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
39684,0401648094,0401648000,0401648000,76,Gainsborough ST,47,BOSTON,02115,1,1,108,CP,CONDO PARKING (RES),NoBld,N,REAL ESTATE BOSTON LLC,,58 Gainsborough ST,BOSTON,MA,02115,,,,,,176,,,0,"47,600",0,"47,600",$518.84 ,,,,,,,,,,A - Average,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
